id,content,keywords
322449,solend mkt rn wormhole eth at the top correct,"['ether (also known as ethereum)', 'eth']"
322450,probably wrapped eth on other chains backed by eth on eth are exploited trying to figure out the exploit rn looks bad tho,"['ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', 'probably', 'wrapped', 'eth', 'chains', 'backed', 'eth', 'eth', 'exploited', 'trying', 'figure', 'exploit', 'rn', 'looks', 'bad', 'tho']"
322454,i am noob does this effectively mean double spend for all that wrapped eth if protocols dont react in time,"['ether (also known as ethereum)', 'eth']"
322483,solend borrow limit on eth is capped and not allowing borrows now,"['ether (also known as ethereum)', 'eth']"
322487,wormhole eth ftx withdrawals still working,"['ether (also known as ethereum)', 'eth']"
322527,whereas on eth contracts are written in solidity on solana you write them in another language and compile them to bytecode,"['ether (also known as ethereum)', 'eth']"
322528,well i know theyre rust wasm but i never explored further i kind of assumed that the eth model of verifying contracts via etherscan or similar would still stand,"['ether (also known as ethereum)', 'eth']"
322540,he couldve bought a binance kyc for 30 in telegram groups tho,"['know your customer', 'kyc']"
322585,btw isnt an issue of this hack also that the attacker coud drain all wormhole eth paired trading pairs across the solana protocols if i understand correctly the vulnerability is based on being able to mint the wormhole eth,"['ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', 'btw', 'nt', 'issue', 'hack', 'attacker', 'coud', 'drain', 'wormhole', 'eth', 'paired', 'trading', 'pairs', 'solana', 'protocols', 'understand', 'correctly', 'vulnerability', 'based', 'able', 'mint', 'wormhole', 'eth']"
322620,rekt,"['“wrecked” (meaning major losses)', 'rekt']"
322626,eth will be added over the next hours to ensure weth is backed 11,"['ether (also known as ethereum)', 'eth']"
322627,damn someone can just pull 120k eth outta their wallets in an hour,"['ether (also known as ethereum)', 'eth']"
322672,i think the problem is the entire eth scaling model everything needs to be bridged long term this will have more security issues like this one,"['ether (also known as ethereum)', 'eth']"
322684,note that solana is not part of the eth scaling model it is an l1 trying to be relevant by bridging assets ultimately homed on eth,"['ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', 'note', 'solana', 'eth', 'scaling', 'model', 'l1', 'trying', 'relevant', 'bridging', 'assets', 'ultimately', 'homed', 'eth']"
322685,it doesnt derive any of its security from eth but it depends on it,"['ether (also known as ethereum)', 'eth']"
322686,im not saying that eth l2s wont experience similar pains but at least those wont have the centralization risks that youre taking on to ease one of the other trilemma legs,"['ether (also known as ethereum)', 'eth']"
322722,does a normal lending protoool even have liquidityim just trying to figure out why do this instead of the old boring stuff borrow against eth directly,"['ether (also known as ethereum)', 'eth']"
322732,i wonder how eth originates since its unclear from the diagram depending on how exactly this works they could have etheth 9010 in the amm which sounds dangerously close to reserve banking tbh,"['ether (also known as ethereum)', 'eth']"
322747,it hopefully will can share my experience building out router protocol as some of you in the group know the issue is as a builder you have to proceed very very cautiously even if you have what you think is a cool product and there is a huge latent demand you continuously want to get one more audit one more pen testing process done before opening up out of alpha and letting loose and the likes of samczsun tob etc the platinum names are all booked for the foreseeable future by big wellfunded projects and the large funds and have zero bandwidth to look at the small guys like us who think we might have a slightly differentiated approach in the meantime the investors and the community want the product updates immediately like yesterday also on the matter of audits the current big vendor model is completely flawed in terms of incentive alignment even the largest names and we have worked with almost all of them are basically maximising billing and have no real skin in the game the most critical bugs for router have been discovered by independent white hat hackers or by daos like immunifi and these are also struggling for talent to service demand,"['ethereum classic', 'etc']"
322754,not any real defi protocol,"['decentralized finance', 'defi']"
322804,how do you go about bridging to native network token for fees without using an exchange for eg i have 1 eth on eth network and want to bridge it to ftm network in ftm but my ftm wallet side is new and has no ftm for feesi am mostly using anyswap stable pools but you still need to use exchange their to get some native token for fees yesthanks,"['ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', 'bridging', 'native', 'network', 'token', 'fees', 'exchange', 'eg', '1', 'eth', 'eth', 'network', 'want', 'bridge', 'ftm', 'network', 'ftm', 'ftm', 'wallet', 'new', 'ftm', 'feesi', 'anyswap', 'stable', 'pools', 'need', 'use', 'exchange', 'native', 'token', 'fees', 'yesthanks']"
322805,some bridges add a bit of native token for gas some times there are faucets sometimes you would have to buy ftm on eth mainnet and bridge that first,"['ether (also known as ethereum)', 'eth']"
322812,i meant for example if i want to go from polygon to avax theres only option to do so via usdc pool and not native tokens itll get stuck and has no point if my avax wallet is new and has no avax for fees to withdraw usdc from pool on the other end,"['usd coin (stablecoin)', 'usdc', 'usd coin (stablecoin)', 'usdc', 'meant', 'example', 'want', 'polygon', 'avax', 's', 'option', 'usdc', 'pool', 'native', 'tokens', 'll', 'stuck', 'point', 'avax', 'wallet', 'new', 'avax', 'fees', 'withdraw', 'usdc', 'pool', 'end']"
322813,yeah this is one of the biggest issues for people trying to start a fresh wallet on other chains without a cex you have very limited possibilities of getting enough of the native token to get started you may be able to bridge 100k usdc but then can not use it because you cant pay for gas,"['usd coin (stablecoin)', 'usdc']"
322825,hmm so they panicked and secured funding from investors the 120k eth are still in the attackers wallet will be interesting to see their technical writeup,"['ether (also known as ethereum)', 'eth']"
322830,because it would have rekt tf out of solana,"['“wrecked” (meaning major losses)', 'rekt']"
322831,pyth wormhole etc are all jump,"['ethereum classic', 'etc']"
322856,yea this is definitely the case they only started their crypto division in 2017 so plenty of capital to bail out their subsidiary now all eyes on that wallet to see where the eth moves,"['ether (also known as ethereum)', 'eth']"
322863,so another dumb questionjump is backing the 300m hack of the wormwhole with ethwhere did they buy those eth and did anyone already found the tx of jump buying these eths,"['ether (also known as ethereum)', 'eth']"
322865,its jump probably had 300m eth sitting around,"['ether (also known as ethereum)', 'eth']"
322874,sorry for my ignorance guys but what is the best place to get some ust on ethereum looking for busd and usdc ust so i can send it over terra bridge,"['usd coin (stablecoin)', 'usdc']"
322901,not sure what you wanna read really id say the topic is quite simple 1 you mean managing usdc inside your treasury it will always be directional unless you just farm in compoundaaveyearn safe old pools which is low risk and decentralized as much as it can be and if it is instead directional even if delta neutral strategies and you have to do it offchain via some mm or at risk of liquidations you are then taking a subjective risk and causing potential issues to the longevity of the treasury you pretty much get your own sifu lmao2 if you mean token side well you cant do much with it but beg lending protocols to accept it as collateral you can diversify treasury into usdc but dont go too fanatic or you might sell too much too early what is the balance also subjective,"['usd coin (stablecoin)', 'usdc', 'usd coin (stablecoin)', 'usdc', 'sure', 'wanna', 'read', 'd', 'topic', 'simple', '1', 'mean', 'managing', 'usdc', 'inside', 'treasury', 'directional', 'farm', 'compoundaaveyearn', 'safe', 'old', 'pools', 'low', 'risk', 'decentralized', 'instead', 'directional', 'delta', 'neutral', 'strategies', 'offchain', 'mm', 'risk', 'liquidations', 'taking', 'subjective', 'risk', 'causing', 'potential', 'issues', 'longevity', 'treasury', 'pretty', 'sifu', 'lmao2', 'mean', 'token', 'nt', 'beg', 'lending', 'protocols', 'accept', 'collateral', 'diversify', 'treasury', 'usdc', 'nt', 'fanatic', 'sell', 'early', 'balance', 'subjective']"
322905,i think maybe it is a bit simpler than that basically i started a multisig for a dao we fundraised from the community a bit and now realizing like if we make revenue do i allocate it out to investors in the multisig if someone invests more than someone else do they have like more ownership what if someone leaves the dao and has invested in the multisig etc,"['ethereum classic', 'etc']"
322908,it depends on the arrangements made so far what you promised etc if you are calling it a dao i assume it should all be proportional,"['ethereum classic', 'etc']"
322910,right now we have done 05 eth contributions without being able to invest more so havent cross that bridge yet,"['ether (also known as ethereum)', 'eth']"
322916,at some point defi has to intersect with tradfi,"['decentralized finance', 'defi']"
322928,i feel like the us is wielding its power over defi in the worst possible way banks have to comply to fatca yet here we have a decentralized protocol that isnt subject to any legislation that must now comply with us issued regulations and for what reason exactly what penalty of noncompliance is the us going to block defi by sanction i wonder if the us govt needs to grant itself a research program to research the feasibility of such nonsense in the first place instead of demanding that everyone comply to their demands which are based in its pipe dream of wanting total taxation of its citizens no matter where they live,"['decentralized finance', 'defi', 'decentralized finance', 'defi', 'feel', 'like', 'wielding', 'power', 'defi', 'worst', 'possible', 'way', 'banks', 'comply', 'fatca', 'decentralized', 'protocol', 'nt', 'subject', 'legislation', 'comply', 'issued', 'regulations', 'reason', 'exactly', 'penalty', 'noncompliance', 'going', 'block', 'defi', 'sanction', 'wonder', 'govt', 'needs', 'grant', 'research', 'program', 'research', 'feasibility', 'nonsense', 'place', 'instead', 'demanding', 'comply', 'demands', 'based', 'pipe', 'dream', 'wanting', 'total', 'taxation', 'citizens', 'matter', 'live']"
322929,could some clever person please explain me whats wrong with lusd seems liquity cant implement any kyc,"['know your customer', 'kyc']"
322948,well at the latest fixed income leaders summit defi was a key topic of discussion,"['decentralized finance', 'defi']"
322951,i totally agree eventually defi is going to come to a fork either its completely sovereign from meat space and cannot be governed by nation states or nation states are going to figure out how to impose their will and everyones gonna have to figure out how to cope with thatwe still dont know which way things are going to end up so its important to build an understanding of how we would have to cope if things take a turn towards the worst,"['decentralized finance', 'defi']"
322953,well we know how the last time 33 turned out this time its not for number goes up but for the spine of defi,"['decentralized finance', 'defi']"
322958,fixed income leaders are already strategising and planning how to integrate defi,"['decentralized finance', 'defi']"
322965,defi has always been an alternative an escape route if you wish we can only make sure its universally loved so it cant be easily attacked,"['decentralized finance', 'defi']"
322971,not quoting anything legalese just think the choke point is the onoff ramp for fiat for a company or more so can a defi project like aave level exist without needing an off ramp,"['conventional government-issued currency (e.g. us dollar, euro)', 'fiat', 'decentralized finance', 'defi', 'quoting', 'legalese', 'think', 'choke', 'point', 'onoff', 'ramp', 'fiat', 'company', 'defi', 'project', 'like', 'aave', 'level', 'exist', 'needing', 'ramp']"
322985,is this really where defi is headed i had such admiration for dai,"['decentralized finance', 'defi']"
322994,all the current defi dapps will eventually split into two parallel markets cedefi vs defi regulatory pressures will become a litmus paper guess we might get quite surprised as to who ends up in which team,"['decentralized finance', 'defi', 'decentralized finance', 'defi', 'current', 'defi', 'dapps', 'eventually', 'split', 'parallel', 'markets', 'cedefi', 'vs', 'defi', 'regulatory', 'pressures', 'litmus', 'paper', 'guess', 'surprised', 'ends', 'team']"
322998,srsly whats the point of defi if its not pushing boundaries the whole reason behind the decentralized aspect of it is so that it can,"['decentralized finance', 'defi']"
323002,i dont really get how those statements reconcile with the selection of aml tools for makerdao with a demo conducted for the community to review from the forum post,"['anti-money laundering', 'aml']"
323004,still not sure if this whole thing makes sense but if the intention is indeed to not use them but just study aml tools i guess we are still not at danger territory but yeah not sure why they would even do this kind of research if there was not an intention to actually do amlkyc at some point feel a bit like gaslighting,"['anti-money laundering', 'aml']"
323007,here is what will likely be the end result of makerdaos research on complianceaccording to fatf recommendation jurisdictions should recognize main developers or founders or operators as those that control influence activities within a dapp recommend that they get identified as virtual asset service providers vasps which means imposing aml compliance on themthe fatf advises a riskbased approach to deal with unhosted wallets with compliant vasps either limiting transactions and their volumes or entirely banning interactions blockchain analysis software programs are however important tools for assistance in the case that vasps do not intend to apply an outright bancompliance officer will suggest the implementation of a travel rule solution like notabene or some other vasps can use the notabene solution to embed proofofnoncustodialwallet ownership into their product discover send and receive fully compliant blockchain transactions to any vasp through their vasp directory and proprietary multiprotocol switch set riskbased rules in the rules engine to automate compliance at scale manage travel rule data transfers from their compliance platformalso implementation of amlcft complianceanalysis tool with blacklisting capabilities realtime protection against malicious actors and ability to block suspicious users and funds from transacting,"['anti-money laundering', 'aml']"
323013,isnt the goal of defi to bring in as much capital as possibleif institutions banks etc require amlkyc cant we have bothcant have a permissionless path for whom ever doesnt want compliance this is ethereum right its decentralized and permissionless at its core but dapps can opt as they already do to provide a compliant pathmore money in circulation better for everyone and the future of defi,"['decentralized finance', 'defi', 'ethereum classic', 'etc', 'decentralized finance', 'defi', 'nt', 'goal', 'defi', 'bring', 'capital', 'possibleif', 'institutions', 'banks', 'etc', 'require', 'amlkyc', 'nt', 'bothcant', 'permissionless', 'path', 'nt', 'want', 'compliance', 'ethereum', 'right', 'decentralized', 'permissionless', 'core', 'dapps', 'opt', 'provide', 'compliant', 'pathmore', 'money', 'circulation', 'better', 'future', 'defi']"
323017,in a scenario where there did end up being two sets of liquidity where kyc liq on one side and defi liq on the other wouldnt defi slowly gain dominance on a long enough time scalei ask this because of the race to the bottom we see in regards to feerent extraction from protocols where they only end up being able to capture the value they add and kyc would have added costs that would put them at a disadvantagei wonder if there were a partypool that was able to exist in both the kyc side and the defi side would they end up migrating to defi as it is essentially defecting on those who stay in the kyc realmi hope this makes sense,"['know your customer', 'kyc', 'decentralized finance', 'defi', 'decentralized finance', 'defi', 'know your customer', 'kyc', 'know your customer', 'kyc', 'decentralized finance', 'defi', 'decentralized finance', 'defi', 'know your customer', 'kyc', 'scenario', 'end', 'sets', 'liquidity', 'kyc', 'liq', 'defi', 'liq', 'nt', 'defi', 'slowly', 'gain', 'dominance', 'long', 'time', 'scalei', 'ask', 'race', 'regards', 'feerent', 'extraction', 'protocols', 'end', 'able', 'capture', 'value', 'add', 'kyc', 'added', 'costs', 'disadvantagei', 'wonder', 'partypool', 'able', 'exist', 'kyc', 'defi', 'end', 'migrating', 'defi', 'essentially', 'defecting', 'stay', 'kyc', 'realmi', 'hope', 'makes', 'sense']"
323018,if you are making a kyc pool like aave and as an institutional party you subjectively believe you cant touch other defi money cause of ur vague understanding of aml you cant go to the dex really then anymore so you pay more in the kyc pool however you will probably have semikyc parties and mms who will arb the two and make their money,"['know your customer', 'kyc', 'decentralized finance', 'defi', 'anti-money laundering', 'aml', 'know your customer', 'kyc', 'making', 'kyc', 'pool', 'like', 'aave', 'institutional', 'party', 'subjectively', 'believe', 'nt', 'touch', 'defi', 'money', 'cause', 'ur', 'vague', 'understanding', 'aml', 'nt', 'dex', 'anymore', 'pay', 'kyc', 'pool', 'probably', 'semikyc', 'parties', 'mms', 'arb', 'money']"
323020,arbs themselves depend on how regulations develop govs might not be able to shut pure defi or even make a ground to imprison foundersteams cos the protocol is decentralized but they can very well ensure that fiat offramps cant accept crypto deposits from any address that has interacted with pure defi or tornado that itself will prevent any legit mm from participating in the system,"['decentralized finance', 'defi', 'conventional government-issued currency (e.g. us dollar, euro)', 'fiat', 'decentralized finance', 'defi', 'arbs', 'depend', 'regulations', 'develop', 'govs', 'able', 'shut', 'pure', 'defi', 'ground', 'imprison', 'foundersteams', 'cos', 'protocol', 'decentralized', 'ensure', 'fiat', 'offramps', 'nt', 'accept', 'crypto', 'deposits', 'address', 'interacted', 'pure', 'defi', 'tornado', 'prevent', 'legit', 'mm', 'participating', 'system']"
323026,there is evidence aml does not work at all more spent than protected and it only takes rights away from people and all the accreditation stuff is total horseshit you also infringe on privacy and if you say why need privacy if you are not doing something illegal this is a dead end but we dont have to argue ethics on law stance in lobsters it makes for useless conversations,"['anti-money laundering', 'aml']"
323027,less opinions more alpha please we dont need to debate the basics of human interactions here cause it would flood bring eth merge news,"['ether (also known as ethereum)', 'eth']"
323029,kyced defi will actually make implementation challenges listed there easier better tracking lower compliance costs global cooardination on a shared ledger,"['decentralized finance', 'defi']"
323030,in b4 kycd defi leads to enforcing accreditation bullshit preventing anyone from actually doing anythingedit im not prokyc at all,"['decentralized finance', 'defi']"
323031,the problem with aml is that regulators cannot envision a world where they dont have tangible control over things crypto enables zk checks and balances and it scares them,"['anti-money laundering', 'aml']"
323032,totally agree nobody has a problem with a sensible kyc regime problem is none of the gov fucks has any incentive to open up the money playground,"['know your customer', 'kyc']"
323046,yessir governance decides what to allocate the pcv to most is in eth however theyve diversified to lusd dai rai and earn from liqudiity providing lending markets they actually recently merged with rari protocol as one of the first dao mergers etc,"['ether (also known as ethereum)', 'eth', 'ethereum classic', 'etc', 'yessir', 'governance', 'decides', 'allocate', 'pcv', 'eth', 've', 'diversified', 'lusd', 'dai', 'rai', 'earn', 'liqudiity', 'providing', 'lending', 'markets', 'actually', 'recently', 'merged', 'rari', 'protocol', 'dao', 'mergers', 'etc']"
323051,both have only eth collateral afaik,"['ether (also known as ethereum)', 'eth']"
323053,protocols that are agnostic about price stability like eth or amms like uniswap or whatever can be much more immutable and completely devoid of any form of human input for monthsyears without needing hard forks or protocol upgrades their product is not price stability its entirely something else,"['ether (also known as ethereum)', 'eth']"
323059,exactly they cant change no room for governance failure less riskthe collateral is in the bank contract where stablecoins can be redeemed for eth,"['ether (also known as ethereum)', 'eth']"
323079,future of defi is an algorithmic governance we cant build systems without flexibility and adaptability to the market which is constantly shaping what we can do is reduce human participation in the protocols evolution,"['decentralized finance', 'defi']"
323087,not sure whats redefined its pretty straightforward one simply needs to look at makerdao vs liquity one can be neutered by going after a handful of dudes that are very generous with their information on twitter and not even that look at when it willingly voted to become a glorified usdc and friends wrapping service the other is actually impervious to that storytelling,"['usd coin (stablecoin)', 'usdc']"
323166,neat tcr team managed to fuck up with _allowances params order in burnfrom so anyone could burn coins from any address by allowing that address to spend your coins firstso the exploit is fairly easy you set up a contract that buys a bit of tcr approves uniswap pair to spend tcr burns almost all tcr supply in uniswap pair syncs uniswap pair reserves thus inflating the tcr price sells back tcr to drain almost all usdt from the pairlps are rekt gg,"['tether', 'usdt', '“wrecked” (meaning major losses)', 'rekt', 'neat', 'tcr', 'team', 'managed', 'fuck', '_', 'allowances', 'params', 'order', 'burnfrom', 'burn', 'coins', 'address', 'allowing', 'address', 'spend', 'coins', 'firstso', 'exploit', 'fairly', 'easy', 'set', 'contract', 'buys', 'bit', 'tcr', 'approves', 'uniswap', 'pair', 'spend', 'tcr', 'burns', 'tcr', 'supply', 'uniswap', 'pair', 'syncs', 'uniswap', 'pair', 'reserves', 'inflating', 'tcr', 'price', 'sells', 'tcr', 'drain', 'usdt', 'pairlps', 'rekt', 'gg']"
323167,of course this is the deregulated space everyone wants double edged sword traditional world uses magic internet money to raise funds reminds me of beeple immediately converting his eth to cash because they dont care about crypto just usd ironically if he waited a few months he would have made extra 70 mil,"['ether (also known as ethereum)', 'eth']"
323181,aside from network effect why does the graph seemingly have a moat around querying the blockchain i can see the value and efficiency in a standardized service to add to the dev stack but i guess what i am really asking is thisis it that much more painful or difficult for a project to have their own api,"['application programming interface', 'api']"
323182,if its a daoprotocol who is paying aws to host that api,"['application programming interface', 'api']"
323188,if one was wanting a way for users to read interact with their dapp via api and wanted to write their own solution is this even a good use of time resources reading data from a node makes sense but calling smart contract functions via api seems dangerous one could use a web3ethers script but then they would be exposing their pks at some level right this clearly doesnt seem like a scalable idea for users of said dapp,"['application programming interface', 'api', 'application programming interface', 'api', 'wanting', 'way', 'users', 'read', 'interact', 'dapp', 'api', 'wanted', 'write', 'solution', 'good', 'use', 'time', 'resources', 'reading', 'data', 'node', 'makes', 'sense', 'calling', 'smart', 'contract', 'functions', 'api', 'dangerous', 'use', 'web3ethers', 'script', 'exposing', 'pks', 'level', 'right', 'clearly', 'nt', 'like', 'scalable', 'idea', 'users', 'said', 'dapp']"
323189,there are some graph competitors like covalent but at this point in time they are less decentralised or not focused on custom data subgraphs and indexes or are focused on offering more of an api to query basic things like token balances like moralis with ivan von techs ugly mug all over it or unmarshal,"['application programming interface', 'api']"
323214,i think there is a camp of people in defi that very much despiseshates governance bribingvote selling and they have legitimate points but unless theres some new tokenomics or innovations i think the current status quo will converge to people selling their gov votes for cash flow once these bribing platforms mature i take a neutral stance on whether its good or not the direction this stuff is going tho seems to be clear,"['decentralized finance', 'defi']"
323215,funny how it went from making fun of eos for bribing to going all in lol,"['eos.io', 'eos']"
323217,i think the difference is that eos is on the consensus level which is quite bad dapps are different in that they live within a credibly neutral virtual machine,"['eos.io', 'eos']"
323227,for anyone interested in defi option vaults we recently did a research piece showcasing the backtested pnl of these strategies,"['decentralized finance', 'defi']"
323264,and defi fixes all that regulation stuff,"['decentralized finance', 'defi']"
323299,the defi options piece is dont sell covered calls in a bull market,"['decentralized finance', 'defi']"
323332,anyone has a good alternative to thegraph to create api my dream scenario would be something similar to dune but having a json api,"['application programming interface', 'api', 'application programming interface', 'api', 'good', 'alternative', 'thegraph', 'create', 'api', 'dream', 'scenario', 'similar', 'dune', 'having', 'json', 'api']"
323333,hey guys i worked on a free crypto hub without any subscription or private group models to aggregate information and make it publicly available i am doing it all by myself right now during my spare time but it might be useful for the few here who are not 247 on ct to get information at a single place please check it out and im open for any feedback suggestions and also correctionscontent1 weekly news highlights2 collection of important articles threads of 100 projects3 treasury overview of guilds4 token unlock schedules5 yield farmingamm lists6 collection of useful data stats7 airdrop tables8 helpful resources tools9 event calendar10 governance votingsdeadlines11 and more,"['crypto twitter', 'ct']"
323338,not likely gas price is about 38 gwei on eth,"['ether (also known as ethereum)', 'eth']"
323343,looking for it too if not gotta lookup quiknode or alchemy,"['technical analysis or trend analysis', 'ta']"
323359,just send a normal tx with 0 eth and your message as hex data,"['ether (also known as ethereum)', 'eth']"
323366,is eth network unusable right now or am i stupid,"['ether (also known as ethereum)', 'eth']"
323416,1 issue is like with infura opensea is a single point of failure since nfts draw data from their api i believe but gives them a big monopoly right now all looksrare volume is wash trading for rewards,"['application programming interface', 'api']"
